Date,Open,High,Low,Close,Volume
2019-03-18,143.3267,143.9867,142.6483,143.7833,1435665
2019-03-19,144.2467,145.4233,142.955,143.4233,1200114
2019-03-20,143.8133,144.5067,142.3567,143.0867,1253010
2019-03-21,142.87,145.0833,142.87,144.5433,1261956
2019-03-22,143.0967,143.26,140.1083,140.24,3214875
2019-03-25,140.25,141.3317,139.6367,140.7967,1305408
2019-03-26,141.9733,142.1567,139.4367,140.1333,1636839
2019-03-27,140.44,142.7667,139.7467,142.23,1857261
2019-03-28,142.99,144.155,142.3133,143.74,952266
2019-03-29,143.75,143.93,142.7267,143.57,2536278
2019-04-01,143.94,145.1567,143.1133,144.4433,1758696
2019-04-02,145.0,145.7567,143.7233,145.7233,1263480
2019-04-03,146.3333,147.2,146.1333,146.8933,1728261
2019-04-04,147.29,148.9433,146.8333,148.1267,1194720
2019-04-05,147.91,149.9367,147.91,149.7433,1268646
2019-04-08,149.5,149.5,147.9567,148.81,1208973
2019-04-09,147.9833,148.6883,147.1467,147.9133,1164618
2019-04-10,147.9667,148.1667,145.92,147.9033,1370781
2019-04-11,148.4033,148.5333,147.58,147.7533,1049334
2019-04-12,148.4067,148.54,145.88,147.1767,1827267
2019-04-15,147.5667,148.0483,146.86,147.9233,1232724
2019-04-16,147.99,150.2033,147.7767,150.1567,1344117
2019-04-17,150.0,150.3333,147.3167,147.6367,1665387
2019-04-18,148.41,151.2167,148.0667,150.81,2285223
2019-04-22,149.88,151.8233,149.7633,150.63,2366769
2019-04-23,150.0,155.0333,148.2333,153.48,3760512
2019-04-24,153.2833,153.6133,151.96,152.6333,1734867
2019-04-25,152.03,152.43,150.25,150.4333,1479600
2019-04-26,150.3633,152.7533,150.0967,152.2233,1015092
2019-04-29,151.98,151.98,149.8033,150.51,1792386
2019-04-30,150.6667,151.9933,150.4833,151.61,1687995
2019-05-01,152.0,152.0,148.8667,149.1667,2129871
2019-05-02,148.6667,151.2033,148.04,150.89,1487802
2019-05-03,151.37,152.4,150.34,151.97,1099314
2019-05-06,149.78,151.9433,149.6667,150.8,1357452
2019-05-07,149.2933,150.2233,147.6083,148.9933,1632381
2019-05-08,148.6767,149.1067,147.8383,148.17,1317009
2019-05-09,146.7033,148.22,145.675,147.32,1125897
2019-05-10,146.7667,147.82,145.5,146.64,1503027
2019-05-13,144.06,144.95,142.3833,143.63,1632954
2019-05-14,143.5367,145.63,142.82,144.8033,1262046
2019-05-15,143.76,144.81,143.2333,143.64,1039443
2019-05-16,143.5233,145.0517,143.4633,144.4267,1781295
2019-05-17,143.7367,146.1483,143.5367,145.2267,1376013
2019-05-20,143.9633,144.76,141.3233,141.5033,1578912
2019-05-21,141.9233,144.8367,141.8233,143.9733,1300827
2019-05-22,144.2567,145.1733,143.5467,143.8133,1023126
2019-05-23,143.1933,144.1633,141.7167,143.5233,1966815
2019-05-24,144.2433,144.44,143.2133,143.5733,1095900
2019-05-28,143.58,144.7367,142.3433,142.3433,1521678
2019-05-29,142.33,142.7167,141.3633,142.1467,1309455
2019-05-30,141.34,143.1367,141.2033,141.5233,1253217
2019-05-31,140.1967,140.995,139.1983,139.8167,1445889
2019-06-03,139.6967,142.4,139.1633,142.27,1567425
2019-06-04,143.81,145.13,142.4533,145.13,2294460
2019-06-05,146.0467,149.9667,144.4833,149.9233,2216619
2019-06-06,150.0,155.52,149.3841,155.52,2588940
2019-06-07,155.5167,159.6617,154.9283,157.9933,2902140
2019-06-10,158.9033,159.0133,157.1367,157.1833,1480242
2019-06-11,158.29,159.1233,155.2867,156.9567,1880097
2019-06-12,157.8967,158.19,156.1867,157.9567,1341663
2019-06-13,158.7567,159.7133,158.2833,159.67,1673118
2019-06-14,159.37,159.37,157.27,157.8833,1434225
2019-06-17,157.8833,158.09,155.505,155.92,1250064
2019-06-18,157.06,157.2267,154.1567,154.9233,2081268
2019-06-19,154.93,155.5933,153.5483,155.0,1707366
2019-06-20,156.5067,157.4733,154.1967,157.22,1603143
2019-06-21,156.6667,157.2033,154.9167,155.23,2249949
2019-06-24,155.72,156.8,154.62,155.32,1151544
2019-06-25,154.64,155.745,153.4233,154.4433,1453773
2019-06-26,153.8533,154.3067,151.4,151.4233,1312230
2019-06-27,152.0167,152.6333,150.33,151.5833,1122027
2019-06-28,151.6733,152.7633,150.8133,152.7633,1647240
2019-07-01,153.84,154.5533,152.52,153.7667,1261932
2019-07-02,153.89,155.0267,153.3333,154.4633,1001979
2019-07-03,155.3167,156.7567,154.52,156.72,642240
2019-07-05,155.2733,155.78,153.4733,155.38,683235
2019-07-08,155.0533,155.67,154.0367,154.2633,946662
2019-07-09,153.9967,154.4167,152.9567,154.0467,852642
2019-07-10,155.2333,155.7167,151.68,152.5133,1485765
2019-07-11,152.61,155.1,152.3467,155.0667,1232088
2019-07-12,155.5,157.0,155.4054,156.5767,1272789
2019-07-15,156.7667,157.9967,156.2733,157.9567,1000929
2019-07-16,158.0,158.0467,155.6433,155.8467,1507884
2019-07-17,155.6667,155.9383,152.2033,152.2833,1735398
2019-07-18,151.91,153.2567,149.21,152.5633,1743138
2019-07-19,152.8767,153.69,151.83,152.2,1464513
2019-07-22,152.4033,153.895,151.26,151.53,1603239
2019-07-23,156.3333,164.0867,155.34,163.41,6339295
2019-07-24,165.0,167.1466,162.8683,167.0433,2743110
2019-07-25,166.8633,170.1766,166.39,169.7666,2669382
2019-07-26,169.8733,171.11,168.2333,170.7666,1778697
2019-07-29,170.0366,170.7666,168.7233,170.0466,1946646
2019-07-30,168.6933,172.1433,168.1133,171.6733,1718916
2019-07-31,171.0166,173.2483,169.17,171.0133,1909821
2019-08-01,171.5233,174.42,170.375,170.9833,1615590
2019-08-02,169.7733,171.2066,168.5566,170.1566,1261149
2019-08-05,167.41,168.7133,164.5067,165.12,1532568
2019-08-06,166.2233,167.2566,164.3133,166.29,1704642
2019-08-07,164.9467,171.5687,163.9483,170.9966,2234415
2019-08-08,172.2,174.4833,172.1533,174.4366,1599843
2019-08-09,173.53,174.6666,171.82,173.2533,992046
2019-08-12,172.7066,174.1733,171.4366,171.91,969444
2019-08-13,171.8133,175.6666,171.59,175.2833,1577835
2019-08-14,172.3466,174.7833,171.6916,171.7533,1548768
2019-08-15,173.29,173.8733,171.7166,173.4,1291521
2019-08-16,174.9666,177.34,174.1666,176.6966,1806609
2019-08-19,177.0866,178.9132,175.2466,176.1466,1446930
2019-08-20,175.1433,175.36,173.1633,174.6666,1209270
2019-08-21,176.4133,178.0366,174.9183,175.8866,1467048
2019-08-22,177.12,177.2166,174.2033,174.5,1248018
2019-08-23,174.1066,174.3566,170.0833,170.8666,1838925
2019-08-26,172.1366,172.5808,169.7733,171.1533,1046952
2019-08-27,172.59,173.33,170.835,171.7966,980727
2019-08-28,170.8133,174.2866,170.79,174.23,899547
2019-08-29,176.08,176.61,174.3183,174.8933,1246050
2019-08-30,175.9633,176.6033,174.7233,175.5833,1274064
2019-09-03,175.1733,176.2233,173.3266,175.7266,933330
2019-09-04,177.4666,178.4366,176.6266,178.2233,1065678
2019-09-05,179.88,179.88,177.155,178.1733,1296288
2019-09-06,179.64,179.6666,178.04,178.2466,983928
2019-09-09,178.05,178.1416,173.32,174.3433,1382424
2019-09-10,172.95,174.1733,171.2966,173.91,1447068
2019-09-11,173.6733,176.8833,173.1683,175.8,1540518
2019-09-12,177.8033,182.9933,176.97,179.65,1878696
2019-09-13,178.69,181.1483,178.6566,180.5066,1189608
2019-09-16,178.67,178.67,175.79,175.83,1257843
2019-09-17,176.2766,179.6666,175.8966,179.1733,1041057
2019-09-18,179.7033,181.3266,178.27,180.9466,973869
2019-09-19,180.0466,183.5766,179.1733,183.26,1580712
2019-09-20,184.0566,184.6933,181.82,183.5133,2432349
2019-09-23,182.7,183.55,180.3833,180.55,1492962
2019-09-24,182.44,184.0316,179.64,180.8333,1634583
2019-09-25,181.9866,182.17,179.4233,181.5133,1414983
2019-09-26,181.75,183.5133,180.4383,182.7833,849429
2019-09-27,183.8866,183.8866,180.62,181.4266,1079652
2019-09-30,181.9733,183.5066,181.8433,183.29,1082637
2019-10-01,183.7,184.37,181.1633,181.62,1459206
2019-10-02,181.1866,181.8166,178.27,180.3366,1629939
2019-10-03,180.34,181.6966,178.9566,181.0633,1078242
2019-10-04,181.92,184.1433,181.92,182.9466,1078554
2019-10-07,182.54,184.4933,182.28,183.0933,920757
2019-10-08,181.7766,183.6666,180.54,181.98,1185375
2019-10-09,181.6666,185.6933,181.6666,185.22,1214619
2019-10-10,185.4566,186.2833,184.2066,186.2333,1343049
2019-10-11,187.8,188.1466,182.93,183.3366,2163594
2019-10-14,183.7166,185.3033,183.0633,183.45,878889
2019-10-15,185.32,186.52,184.23,186.2966,1274247
2019-10-16,186.0733,188.3833,185.31,188.08,1211268
2019-10-17,188.0633,189.0,186.3733,186.8466,1245879
2019-10-18,185.9033,187.3825,185.67,186.9533,1362630
2019-10-21,187.1833,187.5866,183.1433,183.47,2466045
2019-10-22,185.8333,192.7866,182.0566,188.9633,3325059
2019-10-23,190.0,190.0,186.1266,187.9566,1840566
2019-10-24,188.95,191.6666,188.7516,191.35,1451232
2019-10-25,191.9166,193.3333,191.0333,191.6433,1298616
2019-10-28,191.6766,193.74,191.6766,192.7466,1586511
2019-10-29,191.7833,194.4366,191.7833,193.87,1845234
2019-10-30,194.1166,195.7133,192.5933,195.41,1610454
2019-10-31,195.8333,196.3333,190.5266,190.7733,2370879
2019-11-01,191.9533,193.47,191.0033,193.2133,1533336
2019-11-04,194.76,194.8433,190.2916,190.3333,1831110
2019-11-05,189.5033,191.33,186.25,188.3033,2490699
2019-11-06,188.43,191.9366,188.1933,191.7466,1567410
2019-11-07,192.7233,192.7266,189.0216,189.82,1794000
2019-11-08,190.46,193.82,190.151,193.7833,1129539
2019-11-11,192.8166,194.3333,192.5583,193.1366,976266
2019-11-12,193.16,196.4333,192.95,195.7466,1352613
2019-11-13,195.5533,197.6966,195.0,196.58,1163841
2019-11-14,195.6666,198.3333,195.22,197.8166,857607
2019-11-15,198.3333,199.0,197.03,197.59,1131798
2019-11-18,193.67,197.2333,193.5133,195.36,1453026
2019-11-19,195.9366,196.2133,194.39,194.7333,2064102
2019-11-20,194.73,194.73,190.8766,192.0066,1882200
2019-11-21,191.0033,192.2133,188.8733,189.52,2166669
2019-11-22,189.97,192.0,189.4133,191.61,1986432
2019-11-25,192.58,194.0666,192.1109,193.3366,1280892
2019-11-26,193.6966,195.8066,193.12,195.7266,2161854
2019-11-27,195.0966,195.6633,194.075,194.9533,918015
2019-11-29,194.8033,195.52,193.5966,194.3766,709623
2019-12-02,193.5233,193.5233,191.0,191.61,1001610
2019-12-03,190.5733,192.7766,190.0,192.6366,1388646
2019-12-04,193.1066,194.3333,190.2633,190.4366,1279890
2019-12-05,191.4733,191.8633,189.185,190.8333,1192284
2019-12-06,192.64,193.57,191.0866,192.8466,1000704
2019-12-09,192.6166,193.0787,191.4733,192.19,776955
2019-12-10,191.56,191.9172,190.12,190.2833,1244271
2019-12-11,191.1833,191.9033,190.0566,191.83,813849
2019-12-12,191.75,193.51,191.6433,192.27,1304277
2019-12-13,191.6666,193.0666,190.6666,190.7433,1213539
2019-12-16,191.43,193.63,190.42,193.17,1358304
2019-12-17,193.3733,193.554,192.0666,192.7133,1135959
2019-12-18,193.2433,193.2433,190.08,190.87,1004139
2019-12-19,191.3233,193.2233,190.5666,192.6166,1141050
2019-12-20,193.7566,194.2033,192.05,193.66,2224554
2019-12-23,193.97,194.73,193.1533,194.42,697155
2019-12-24,193.4566,194.65,193.07,193.7133,294354
2019-12-26,194.0066,194.06,192.4188,193.8666,453204
2019-12-27,194.5766,195.02,193.6266,193.8966,525231
2019-12-30,192.75,193.6033,192.3933,192.9133,695940
2019-12-31,192.7,194.6083,192.28,194.5133,867210
2020-01-02,195.0166,195.04,189.58,190.6166,1806867
2020-01-03,188.4466,190.51,188.0966,188.15,1635741
2020-01-06,187.41,188.572,186.9733,187.8033,1926588
2020-01-07,188.5666,188.7133,186.4649,186.7866,1804137
2020-01-08,187.3466,190.11,187.0,189.76,1886484
2020-01-09,190.5366,191.0466,187.585,188.5433,2245197
2020-01-10,189.2833,190.3966,188.7533,189.03,1001874
2020-01-13,189.1566,191.75,188.7766,191.62,1306350
2020-01-14,191.58,192.99,190.8533,191.49,1810161
2020-01-15,192.0433,195.9316,191.32,194.8533,1460481
2020-01-16,196.6066,196.6066,193.93,194.9933,1494918
2020-01-17,195.4466,198.3566,194.61,198.1566,2143356
2020-01-21,198.15,199.415,196.7833,197.6866,1596039
2020-01-22,198.6933,198.8683,196.9633,197.6433,1093830
2020-01-23,198.0533,198.8766,196.484,198.8466,1297134
2020-01-24,199.6666,199.9833,197.3116,198.28,1400505
2020-01-27,195.9633,196.65,194.1833,194.7566,1233345
2020-01-28,194.8333,197.6533,194.8333,197.0166,1189557
2020-01-29,197.6666,199.3333,196.7533,196.7533,1906887
2020-01-30,187.4666,190.2566,185.1666,189.6333,3222777
2020-01-31,186.79,188.0,183.7333,185.6633,2703582
2020-02-03,186.44,192.6933,185.9533,191.6366,2517993
2020-02-04,192.9466,196.6633,192.1333,195.6566,1922445
2020-02-05,195.6533,195.8266,190.31,194.1466,2439864
2020-02-06,194.6866,195.1933,193.1,193.9666,1985253
2020-02-07,193.7733,193.7733,190.5433,190.85,1704498
2020-02-10,190.37,191.5866,189.62,190.76,1518576
2020-02-11,191.0833,193.7166,190.89,192.3466,1223844
2020-02-12,192.3833,193.995,191.8826,193.38,1109340
2020-02-13,192.41,194.19,192.0333,193.2533,838365
2020-02-14,193.4566,195.15,193.0561,195.15,916296
2020-02-18,194.3733,194.6266,192.0666,193.9266,1239387
2020-02-19,195.0,197.4633,194.98,196.35,1478976
2020-02-20,195.2566,197.0933,193.3333,194.6933,1021731
2020-02-21,193.4366,194.3966,190.7966,191.1133,1149480
2020-02-24,187.12,190.6566,185.67,189.0333,1697490
2020-02-25,189.93,190.2666,183.4166,183.6533,2530470
2020-02-26,185.0533,188.375,182.95,183.5366,2172360
2020-02-27,180.7866,182.7816,174.9666,175.12,2345076
2020-02-28,169.3833,172.25,165.89,172.25,4079445
2020-03-02,174.0066,179.44,171.0066,179.44,2520987
2020-03-03,180.1733,184.1366,176.87,180.1933,2212701
2020-03-04,184.4233,191.62,181.7666,191.5933,2209950
2020-03-05,187.0133,188.68,183.0866,184.97,1775610
2020-03-06,180.92,181.5066,176.4966,180.3333,1971954
2020-03-09,167.1166,179.445,166.8333,175.72,3484491
2020-03-10,180.7566,182.1533,171.8066,182.0066,2829420
2020-03-11,177.6666,178.2166,169.1833,173.38,3127650
2020-03-12,162.2233,169.785,157.0033,160.88,3269121
2020-03-13,167.5233,168.4866,154.29,166.4433,4273833
2020-03-16,149.6667,150.22,135.1467,135.3567,4736628
2020-03-17,138.3667,144.73,125.8991,140.1267,5943463
2020-03-18,129.5967,136.73,108.4767,134.2867,5137999
2020-03-19,132.9467,149.6533,129.3667,148.3733,3081825
2020-03-20,151.0733,152.3433,135.3267,137.5667,3788505
2020-03-23,136.94,140.9367,130.2567,132.2333,2876949
2020-03-24,139.52,153.47,138.8167,151.34,3735285
2020-03-25,150.7567,158.2767,149.0833,150.5533,2766837
2020-03-26,155.01,157.755,151.3333,155.38,2563437
2020-03-27,150.3333,157.1633,150.0,153.22,1990578
2020-03-30,157.2167,162.16,154.2967,160.61,2259468
2020-03-31,158.83,160.5833,152.5167,153.1733,3840717
2020-04-01,146.6367,148.1733,140.4667,141.66,3430512
2020-04-02,140.0667,146.6567,137.3367,145.6367,3258147
2020-04-03,145.0,147.53,138.7467,140.01,2051493
2020-04-06,147.5967,154.3267,146.0367,152.8733,2193231
2020-04-07,158.4533,161.6567,154.01,154.45,2436165
2020-04-08,156.75,163.99,154.0167,162.77,1770978
2020-04-09,166.0833,172.7233,162.55,164.05,3194076
2020-04-13,160.77,164.1367,157.6267,163.0667,2571843
2020-04-14,166.6667,170.2166,163.3367,168.13,2263155
2020-04-15,163.5867,166.66,161.9467,164.2267,1870191
2020-04-16,166.5633,167.33,158.7,161.6767,2226159
2020-04-17,165.8467,172.6866,165.8467,172.25,1824243
2020-04-20,168.94,171.635,164.31,165.29,1747125
2020-04-21,162.7967,164.2967,159.8717,161.6333,984546
2020-04-22,164.89,168.4533,164.89,166.7633,1117302
2020-04-23,166.8133,169.5566,165.8767,166.2333,915258
2020-04-24,167.1966,168.9116,164.8644,168.6866,807174
2020-04-27,167.9866,171.6133,165.7633,170.4866,1401102
2020-04-28,173.0,173.2933,168.3516,169.5766,1564653
2020-04-29,178.6666,186.5433,174.66,179.62,2886615
2020-04-30,175.9566,181.2066,174.5433,178.79,2059203
2020-05-01,175.2133,176.5833,173.3566,175.48,1241004
2020-05-04,174.7366,176.6216,172.32,176.28,1184412
2020-05-05,177.9866,179.9133,176.51,177.5633,1121667
2020-05-06,178.3333,178.865,174.48,174.6733,1025586
2020-05-07,176.5866,177.7666,175.4033,176.1866,1172571
2020-05-08,179.6866,184.5266,178.2333,183.2266,1477197
2020-05-11,181.07,187.9233,180.9333,186.28,2395665
2020-05-12,185.6966,187.92,184.4866,184.4866,1867710
2020-05-13,183.48,184.9,179.8983,182.7733,1466778
2020-05-14,180.1066,181.8733,176.0633,181.85,1630980
2020-05-15,180.1633,189.46,179.7666,189.46,2658888
2020-05-18,193.3333,195.3733,190.6327,190.75,1856808
2020-05-19,190.3,191.8833,187.5033,187.9133,1664985
2020-05-20,190.2666,191.87,188.1033,188.21,1890513
2020-05-21,188.6066,190.4166,187.665,190.0,1605264
2020-05-22,190.5633,192.4433,189.3133,192.4333,837462
2020-05-26,195.0,195.2966,193.1216,194.3766,1377765
2020-05-27,195.0,195.165,190.8516,194.2866,1355115
2020-05-28,196.6666,198.6416,195.29,196.67,1647837
2020-05-29,196.09,198.7666,195.0733,197.95,1315446
2020-06-01,197.8066,198.31,193.3466,194.1533,1040790
2020-06-02,193.45,199.7266,193.0633,199.0366,1582869
2020-06-03,199.77,201.12,197.6966,198.0533,1545984
2020-06-04,196.8566,197.6666,190.61,191.72,1907691
2020-06-05,194.3466,196.9833,188.78,195.0966,2654427
2020-06-08,194.4766,194.7566,190.1666,191.6666,2092569
2020-06-09,190.2366,195.2933,190.0833,193.9233,1523586
2020-06-10,194.3466,195.2611,192.4533,193.6533,1123365
2020-06-11,191.39,192.06,181.3133,182.1066,2883339
2020-06-12,186.7333,187.0976,179.7233,182.54,2205609
2020-06-15,178.6666,190.6666,178.6566,190.0033,2628231
2020-06-16,195.48,196.1133,188.6933,192.12,1304475
2020-06-17,193.4233,196.0,192.1866,194.0,1229229
2020-06-18,192.6666,195.0133,192.5166,193.9,834939
2020-06-19,197.2233,197.2583,192.945,194.89,2112288
2020-06-22,198.15,198.15,191.3733,194.1566,1333215
2020-06-23,196.56,196.56,191.38,192.11,1479621
2020-06-24,191.6566,191.73,188.7,188.8833,1248357
2020-06-25,189.21,191.4333,185.8433,191.07,985401
2020-06-26,190.9366,191.2933,185.2866,185.8433,1648365
2020-06-29,187.03,189.9333,184.3366,188.6666,1030833
2020-06-30,189.2,193.2933,187.9066,192.6166,1443195
2020-07-01,192.59,193.98,190.4966,192.52,1906761
2020-07-02,194.2833,195.5233,193.3966,194.3233,1351458
2020-07-06,196.6666,197.5766,194.5869,197.3866,1644660
2020-07-07,195.1633,197.1933,194.7,196.2466,1329861
2020-07-08,196.6666,198.5466,191.8,195.3733,1418940
2020-07-09,195.7,195.9133,190.6666,193.23,1049466
2020-07-10,194.0866,195.5383,190.8766,194.6,820680
2020-07-13,196.2466,196.88,191.8666,192.0133,1141989
2020-07-14,191.75,195.71,191.75,195.5666,1150446
2020-07-15,196.6666,199.3466,195.6416,199.1466,1211343
2020-07-16,198.2766,201.17,197.77,199.59,1049787
2020-07-17,200.0,204.3766,199.65,203.3633,1824762
2020-07-20,202.9033,204.2433,202.1733,202.6933,970788
2020-07-21,205.0,205.0066,202.6666,204.4666,1511244
2020-07-22,203.7666,208.64,203.7666,208.6333,1147002
2020-07-23,207.6166,209.48,204.29,206.1666,1140711
2020-07-24,205.84,207.28,204.6366,206.6733,1344534
2020-07-27,208.74,210.6266,207.8416,208.5066,2471814
2020-07-28,216.6666,219.9566,207.1883,211.1833,3127548
2020-07-29,211.6766,216.9933,211.5066,215.8766,2016027
2020-07-30,213.7766,216.73,213.09,215.8766,1373289
2020-07-31,215.36,216.5,213.4166,215.9733,1778364
2020-08-03,216.23,217.55,213.63,213.7133,1411908
2020-08-04,213.6266,219.2833,213.6266,216.97,1849350
2020-08-05,217.7,219.6333,216.91,216.91,1411284
2020-08-06,216.76,219.6333,216.4581,218.19,1288998
2020-08-07,218.02,219.1866,217.5316,218.9066,1127826
2020-08-10,218.6666,219.73,216.4166,217.0833,1049112
2020-08-11,218.3333,220.41,216.6866,217.4666,1179351
2020-08-12,218.74,225.2466,218.1733,223.9633,1722330
2020-08-13,222.5533,224.85,221.77,223.0766,834555
2020-08-14,223.3933,224.6566,221.1033,222.1866,678810
2020-08-17,223.58,224.7233,221.89,223.6666,1032840
2020-08-18,225.0,225.3433,222.89,223.3266,887406
2020-08-19,224.13,224.27,221.2833,221.6966,949743
2020-08-20,221.11,223.4666,221.11,222.5166,957909
2020-08-21,222.6233,225.98,221.5,225.2733,1068714
2020-08-24,226.6666,227.2,222.7233,223.8033,786174
2020-08-25,224.9,226.2033,222.12,223.43,809979
2020-08-26,223.31,226.3,222.3733,225.57,917055
2020-08-27,226.75,226.75,223.6866,223.9333,800442
2020-08-28,224.6566,225.46,223.2259,225.3033,1015197
2020-08-31,225.4533,225.4533,223.22,223.6833,1129845
2020-09-01,223.1666,228.68,222.6466,228.68,1512798
2020-09-02,228.1833,233.27,227.8333,233.0533,1393410
2020-09-03,232.3333,232.3333,223.7466,226.28,1576752
2020-09-04,226.92,228.1766,220.3583,226.54,1858437
2020-09-08,223.61,224.4333,220.565,223.1,1951833
2020-09-09,228.9333,232.5033,227.375,231.4766,1585089
2020-09-10,232.3033,236.445,231.0,234.22,2507358
2020-09-11,235.1033,237.655,233.4633,236.2466,1420779
2020-09-14,238.0,240.3375,237.0,239.2,1336188
2020-09-15,240.2533,241.97,237.95,238.75,1062561
2020-09-16,239.5766,240.5633,237.6733,238.3733,1212249
2020-09-17,236.6666,237.8666,234.255,237.5166,1413195
2020-09-18,236.0733,237.82,230.6766,231.83,2295807
2020-09-21,229.2966,229.94,224.7266,227.61,1043724
2020-09-22,228.0933,232.8866,227.8033,232.1066,1332972
2020-09-23,230.66,231.14,225.2766,225.7733,1138071
2020-09-24,227.11,230.3166,226.43,228.6333,902439
2020-09-25,228.27,232.7438,227.2566,232.4833,856491
2020-09-28,235.24,237.39,233.9633,235.6866,1284639
2020-09-29,236.8233,238.4466,235.21,235.2233,871365
2020-09-30,236.6666,238.3333,230.6366,232.2466,2412966
2020-10-01,234.9933,236.5096,229.5566,230.2666,1557009
2020-10-02,228.9033,232.2983,226.9223,229.66,1234668
2020-10-05,231.1733,233.8166,228.9183,229.8666,1940172
2020-10-06,230.6266,232.19,226.99,227.46,1562628
2020-10-07,229.2466,231.22,228.4366,230.6,1350888
2020-10-08,231.54,232.6533,228.49,229.4266,1477122
2020-10-09,230.45,232.9798,230.0,232.8,1356606
2020-10-12,234.0,236.2466,233.0648,234.1266,943227
2020-10-13,234.2033,235.45,231.7166,232.3933,1303932
2020-10-14,232.93,232.93,230.1933,231.33,1297554
2020-10-15,229.4466,230.9333,227.6633,229.3333,1279248
2020-10-16,230.5466,233.92,230.22,231.7733,1140585
2020-10-19,232.12,233.0267,226.5066,227.2766,1038588
2020-10-20,229.1666,229.5552,224.5333,224.9766,1581894
2020-10-21,225.0,228.1655,224.3733,224.69,1533075
2020-10-22,225.4133,226.8766,222.99,226.0,859896
2020-10-23,227.0466,228.35,224.5716,227.77,1108944
2020-10-26,225.7033,226.6133,221.4066,223.46,1461237
2020-10-27,225.72,227.4366,222.5882,224.49,1791513
2020-10-28,224.74,228.6666,221.9766,226.22,2416842
2020-10-29,225.9733,231.675,224.8566,230.6966,1851879
2020-10-30,228.75,231.67,227.1,229.3266,2065050
2020-11-02,232.2866,238.48,231.6666,236.4333,1853007
2020-11-03,236.64,239.5833,235.0866,236.6966,1396767
2020-11-04,236.8766,243.1066,236.8766,241.33,1410576
2020-11-05,243.3333,246.91,242.8333,243.2733,1110741
2020-11-06,244.2933,245.7333,241.8866,245.3666,1279632
2020-11-09,248.5,252.6666,230.2233,230.2533,3004743
2020-11-10,230.8566,241.3666,230.8566,240.8033,2378682
2020-11-11,242.1033,243.4783,240.18,242.4933,1159716
2020-11-12,241.58,242.7783,237.475,239.1033,1688829
2020-11-13,241.0466,242.85,240.07,242.0933,980118
2020-11-16,242.7066,244.7733,240.8266,243.9,1522188
2020-11-17,241.6666,244.8233,239.7833,243.6933,1476549
2020-11-18,244.4633,246.0686,241.2,241.2033,1462773
2020-11-19,241.2033,245.1433,238.6566,242.91,1563762
2020-11-20,243.3333,244.2266,241.2083,241.41,969753
2020-11-23,242.47,245.52,242.1433,244.71,1046934
2020-11-24,246.4966,248.79,244.425,245.0966,1643583
2020-11-25,246.26,247.3266,242.5733,243.75,1005309
2020-11-27,243.9933,247.1666,243.4633,245.27,418209
2020-11-30,244.63,249.5366,244.175,249.21,2643132
2020-12-01,250.0,251.6666,246.64,247.7533,1743231
2020-12-02,247.83,248.7766,237.9933,238.55,1773759
2020-12-03,238.5533,239.9583,235.58,236.0166,1362936
2020-12-04,237.5266,238.0,234.37,235.3033,2087013
2020-12-07,235.8466,237.7383,235.5033,236.6933,1912029
2020-12-08,237.1433,240.3966,236.9333,239.7533,1317558
2020-12-09,240.6166,242.95,237.7133,240.2133,1691436
2020-12-10,238.8433,241.6383,237.6033,239.94,1383273
2020-12-11,239.52,240.85,237.7766,239.5366,1086999
2020-12-14,241.35,243.3333,239.5966,239.6166,1545519
2020-12-15,241.2833,242.1033,239.07,240.78,957528
2020-12-16,242.2566,242.9866,239.9333,240.83,1149507
2020-12-17,242.3633,243.1033,241.19,242.0833,1515816
2020-12-18,242.25,243.15,239.5333,242.7433,2662923
2020-12-21,239.9733,243.2266,237.1778,243.0566,1051173
2020-12-22,243.3333,246.6633,241.99,245.69,1004799
2020-12-23,245.84,246.8666,241.48,241.4833,800853
2020-12-24,242.43,245.07,242.0416,244.6333,325950
2020-12-28,246.0333,246.0333,242.9466,243.1133,513357
2020-12-29,244.66,244.86,241.9983,243.53,586740
2020-12-30,244.0133,245.3,242.3,242.3766,641964
2020-12-31,242.8133,245.28,241.2416,244.97,920388
2021-01-04,244.9966,245.64,238.2266,241.1566,1224969
2021-01-05,240.1633,242.6933,239.23,239.9533,1171959
2021-01-06,238.3333,242.0033,237.85,240.7833,1648926
2021-01-07,241.57,246.6733,241.33,245.0433,1507122
2021-01-08,244.5033,244.8261,240.3966,242.9233,1203462
2021-01-11,241.9033,246.2016,239.7066,244.98,781779
2021-01-12,244.68,246.95,243.2033,246.3866,926667
2021-01-13,247.0833,247.0833,242.2837,242.7133,1207833
2021-01-14,242.1366,242.7033,238.83,239.5933,1224258
2021-01-15,239.3,242.8566,237.3633,241.85,2126319
2021-01-19,243.1633,245.8766,241.81,241.87,1353444
2021-01-20,242.5366,245.6666,241.0316,245.4066,1271718
2021-01-21,245.6666,249.3233,244.62,245.45,909504
2021-01-22,244.2366,245.8216,242.64,244.0566,924900
2021-01-25,245.0233,247.1233,243.9266,244.76,1200684
2021-01-26,245.7733,245.7733,240.3516,241.2133,1313481
2021-01-27,239.4466,240.9133,235.1766,239.18,1682559
2021-01-28,238.2866,241.13,230.5868,237.35,2002968
2021-01-29,235.31,235.31,228.6166,230.6,2348604
2021-02-01,231.54,233.2233,227.1966,232.7,1426566
