Date,Open,High,Low,Close,Volume
2019-08-20,157.9,158.2,156.23,156.48,881278
2019-08-21,156.9,158.79,156.64,158.75,912818
2019-08-22,157.91,158.74,156.74,158.38,1105151
2019-08-23,158.9,159.265,156.45,157.03,781974
2019-08-26,157.53,159.24,156.65,159.05,939850
2019-08-27,158.65,159.84,158.2,159.38,1211942
2019-08-28,159.64,161.41,158.67,160.48,1289378
2019-08-29,160.74,160.8124,157.51,157.99,1044088
2019-08-30,158.7,159.78,157.7,158.48,1026372
2019-09-03,158.48,159.95,157.24,159.93,915134
2019-09-04,160.08,161.58,159.62,161.4,1046986
2019-09-05,161.95,162.2,159.95,160.3,1154902
2019-09-06,160.22,160.79,158.74,158.98,1223300
2019-09-09,158.51,158.5453,156.12,156.15,1360188
2019-09-10,155.13,155.13,150.01,152.54,2359015
2019-09-11,152.54,154.27,150.5,151.15,1819375
2019-09-12,149.78,152.66,149.2,151.26,1697349
2019-09-13,150.36,151.79,148.02,148.57,1830735
2019-09-16,147.55,149.9,147.0,148.04,1287812
2019-09-17,149.07,153.95,149.07,152.69,1661734
2019-09-18,153.9,154.0,151.502,153.05,869887
2019-09-19,153.13,153.89,152.66,153.45,803934
2019-09-20,153.85,154.591,152.97,153.94,3219233
2019-09-23,154.33,155.4,153.31,153.31,793406
2019-09-24,154.25,156.6225,154.02,155.66,1156442
2019-09-25,155.3,156.48,152.9,153.37,978352
2019-09-26,154.39,154.92,153.55,154.28,965859
2019-09-27,154.6,154.98,152.63,153.78,526102
2019-09-30,153.8,155.54,153.58,154.99,836076
2019-10-01,154.79,155.45,153.43,154.89,658950
2019-10-02,154.74,155.7,153.13,153.55,790089
2019-10-03,153.78,156.09,153.78,155.48,1140226
2019-10-04,156.38,157.53,155.3662,157.51,974889
2019-10-07,156.95,158.45,156.56,157.7,772590
2019-10-08,157.76,158.405,155.9,156.28,814675
2019-10-09,156.47,156.97,155.2,156.47,873495
2019-10-10,155.85,157.49,154.98,156.3,626381
2019-10-11,156.98,157.0,154.07,155.31,933506
2019-10-14,156.07,157.17,155.0559,155.38,799052
2019-10-15,155.75,156.24,152.07,152.54,1226473
2019-10-16,152.04,152.7,151.28,151.53,818714
2019-10-17,151.46,153.39,151.46,152.73,597990
2019-10-18,152.52,153.85,151.93,153.07,715690
2019-10-21,152.86,153.92,152.53,153.58,696960
2019-10-22,153.28,153.7278,149.6,149.75,957832
2019-10-23,149.59,150.82,148.79,149.71,1402471
2019-10-24,145.6,147.83,143.04,146.37,1869584
2019-10-25,146.37,146.91,142.17,143.31,1390237
2019-10-28,144.1,144.44,140.49,141.15,1408273
2019-10-29,141.29,144.03,141.2769,143.65,1469533
2019-10-30,144.12,146.51,143.56,145.97,1127890
2019-10-31,146.38,147.48,145.435,146.87,1037891
2019-11-01,147.26,147.8,142.52,143.07,1110314
2019-11-04,143.05,143.49,139.83,140.53,1112112
2019-11-05,140.21,140.68,139.1,140.29,1079254
2019-11-06,141.35,143.1,140.66,140.82,1022492
2019-11-07,140.79,141.45,139.66,141.32,808919
2019-11-08,141.91,142.41,140.27,140.97,468827
2019-11-11,141.15,141.75,140.1,141.73,512214
2019-11-12,141.91,143.25,141.14,142.85,710667
2019-11-13,143.87,146.16,143.44,145.78,1413818
2019-11-14,146.19,147.2325,145.65,146.31,844810
2019-11-15,146.05,146.0937,144.12,145.75,877657
2019-11-18,145.4,147.505,145.0,146.69,740803
2019-11-19,146.95,147.87,146.13,147.56,754429
2019-11-20,148.57,149.92,148.07,149.12,1164903
2019-11-21,148.25,148.64,146.24,146.55,719595
2019-11-22,146.78,147.24,146.0,146.84,589023
2019-11-25,147.0,147.45,145.8,146.08,1299327
2019-11-26,146.56,149.68,146.05,149.59,1899724
2019-11-27,149.54,149.62,148.335,148.56,823587
2019-11-29,148.81,149.31,147.5,148.16,423389
2019-12-02,147.67,149.09,146.78,148.96,677285
2019-12-03,149.12,150.38,147.7184,148.8,832503
2019-12-04,148.54,150.18,148.27,150.16,802250
2019-12-05,150.13,150.75,149.21,149.97,570287
2019-12-06,150.18,150.65,149.23,149.25,600212
2019-12-09,149.84,150.2,148.84,149.54,952479
2019-12-10,149.62,150.09,149.04,149.4,539696
2019-12-11,149.15,150.39,148.81,149.77,614962
2019-12-12,149.11,149.35,146.6,146.82,713485
2019-12-13,145.88,147.58,144.7221,147.15,586282
2019-12-16,147.37,148.14,146.5,146.78,917327
2019-12-17,147.12,147.74,144.54,144.71,1489312
2019-12-18,145.29,146.71,144.75,145.82,984034
2019-12-19,146.55,147.97,145.93,146.67,925090
2019-12-20,147.3,147.57,146.03,147.44,1269377
2019-12-23,147.86,147.93,146.1871,146.31,481811
2019-12-24,146.26,146.71,145.84,146.09,250834
2019-12-26,145.91,146.83,145.61,146.29,400842
2019-12-27,146.65,147.83,146.53,147.62,420746
2019-12-30,147.21,147.255,146.06,146.82,446422
2019-12-31,146.76,147.0,145.58,146.98,594814
2020-01-02,147.23,147.81,143.5444,143.96,780033
2020-01-03,143.97,145.89,143.765,145.26,770922
2020-01-06,145.27,145.28,143.65,144.57,1032942
2020-01-07,144.2,145.52,143.98,144.85,859924
2020-01-08,145.48,146.93,144.86,146.04,865210
2020-01-09,146.06,147.2,145.16,146.57,919092
2020-01-10,146.83,148.41,146.1,148.13,724091
2020-01-13,148.34,150.015,148.2,149.69,734891
2020-01-14,149.84,150.35,148.09,148.83,734678
2020-01-15,148.78,149.97,148.34,148.51,852769
2020-01-16,148.35,149.48,147.17,148.97,1016529
2020-01-17,149.3,151.23,149.3,150.85,879443
2020-01-21,151.09,152.89,150.77,152.83,869839
2020-01-22,153.2,153.6054,152.15,152.44,486601
2020-01-23,152.3,154.42,152.04,153.83,603337
2020-01-24,154.06,154.83,153.14,154.68,592626
2020-01-27,154.12,155.22,152.74,152.85,1130586
2020-01-28,152.44,153.2,151.34,152.19,821674
2020-01-29,152.28,152.68,150.95,151.15,795779
2020-01-30,151.39,158.19,151.16,158.14,1386389
2020-01-31,157.5,159.83,155.15,155.17,1341567
2020-02-03,155.77,156.54,154.15,154.65,812952
2020-02-04,154.73,155.37,152.12,152.44,842753
2020-02-05,152.18,153.6,151.6939,152.88,802200
2020-02-06,152.33,154.81,152.12,154.34,676841
2020-02-07,154.74,156.2399,154.3,156.05,717298
2020-02-10,156.41,158.275,156.41,156.99,733646
2020-02-11,156.86,158.24,156.5943,157.65,680625
2020-02-12,157.38,158.35,156.65,157.86,673024
2020-02-13,157.66,159.48,157.37,159.33,774114
2020-02-14,159.0,160.59,158.82,160.34,687439
2020-02-18,159.92,160.92,159.555,160.06,1061579
2020-02-19,160.21,161.83,159.81,160.49,806799
2020-02-20,158.8,160.36,158.4,160.11,716714
2020-02-21,159.8,160.96,158.35,160.32,1028175
2020-02-24,159.39,160.93,158.1817,158.94,1083626
2020-02-25,159.06,160.475,156.89,157.32,1466644
2020-02-26,157.32,161.75,157.3,158.38,1144369
2020-02-27,157.83,159.86,151.86,151.96,1580786
2020-02-28,149.1,149.82,141.01,143.99,2127656
2020-03-02,144.32,152.59,144.32,152.36,1280476
2020-03-03,153.11,156.57,151.57,153.49,1342307
2020-03-04,155.99,161.035,154.97,160.95,1002281
2020-03-05,158.83,160.36,157.03,159.0,974080
2020-03-06,154.78,157.421,152.97,156.29,1118357
2020-03-09,150.15,154.16,148.0,151.0,1221622
2020-03-10,152.97,154.95,148.0,154.55,1900329
2020-03-11,150.13,151.82,146.816,148.77,1076736
2020-03-12,137.99,142.69,132.84,132.87,2478477
2020-03-13,140.09,140.11,131.39,139.84,1905048
2020-03-16,128.46,136.58,115.21,125.93,1974584
2020-03-17,128.44,144.59,127.81,139.1,2678816
2020-03-18,132.21,136.96,111.58,116.11,3029013
2020-03-19,116.07,127.75,115.01,121.79,1806455
2020-03-20,120.14,126.294,116.58,117.73,1763078
2020-03-23,117.75,122.46,109.88,111.43,1917294
2020-03-24,114.65,123.21,114.2175,121.92,1523090
2020-03-25,123.48,130.79,121.37,126.14,2003641
2020-03-26,126.12,133.08,126.12,132.45,1440635
2020-03-27,129.04,135.51,128.81,130.84,1521374
2020-03-30,133.29,138.62,133.29,137.78,1348248
2020-03-31,136.85,138.05,132.06,132.5,2162857
2020-04-01,128.39,133.65,127.75,131.66,1412262
2020-04-02,129.82,136.49,129.79,135.73,2134822
2020-04-03,134.88,140.47,134.88,139.77,1469010
2020-04-06,143.55,144.0,138.06,141.86,1294918
2020-04-07,142.15,144.62,140.03,141.11,1367993
2020-04-08,141.62,144.04,140.54,142.71,779686
2020-04-09,142.77,147.35,142.73,143.91,952507
2020-04-13,143.2,144.42,141.13,142.65,1683892
2020-04-14,143.85,147.46,141.76,146.13,1152145
2020-04-15,146.12,146.75,141.78,142.6,1715645
2020-04-16,144.02,146.67,142.6726,145.45,1443093
2020-04-17,147.4,147.77,143.96,146.46,1164262
2020-04-20,143.25,147.3,143.06,144.58,1048735
2020-04-21,146.24,146.24,140.75,141.62,1236100
2020-04-22,142.59,145.48,142.5,143.28,1293686
2020-04-23,140.0,142.0126,135.87,136.91,2165408
2020-04-24,136.03,136.6,133.39,135.74,1416028
2020-04-27,136.55,137.68,135.1,135.11,1318659
2020-04-28,135.11,136.12,133.81,134.25,1167187
2020-04-29,134.57,134.91,132.08,134.41,1909895
2020-04-30,134.6,134.89,132.0,132.43,1216220
2020-05-01,131.44,133.75,130.37,132.54,1153410
2020-05-04,131.89,132.0,129.91,131.25,1109586
2020-05-05,131.59,132.9,129.755,131.36,1135615
2020-05-06,132.04,132.98,131.23,131.73,858160
2020-05-07,133.12,133.31,130.39,130.53,979163
2020-05-08,132.25,133.755,131.81,133.19,831328
2020-05-11,133.13,135.19,132.92,132.95,1087164
2020-05-12,133.86,134.69,132.41,132.47,663385
2020-05-13,132.37,133.63,130.77,131.87,803287
2020-05-14,131.83,132.62,129.49,131.03,1151167
2020-05-15,130.9,133.47,130.05,130.38,2602758
2020-05-18,131.91,132.85,128.81,132.27,1789354
2020-05-19,131.51,132.2535,129.52,130.91,1170648
2020-05-20,131.82,132.33,130.72,131.22,1137664
2020-05-21,130.2,130.46,127.15,128.03,2597308
2020-05-22,128.46,130.5575,127.6,130.26,899979
2020-05-26,131.75,131.87,127.83,128.27,1719569
2020-05-27,128.34,133.26,127.04,133.05,1443851
2020-05-28,134.9,136.18,133.58,135.98,1372739
2020-05-29,135.56,136.94,133.86,135.68,2912028
2020-06-01,135.87,137.4,134.82,136.43,746113
2020-06-02,136.21,137.2,135.26,137.18,2057611
2020-06-03,137.62,137.95,134.18,134.22,980953
2020-06-04,133.82,135.07,132.47,133.43,1133365
2020-06-05,134.05,136.28,133.29,135.44,1304553
2020-06-08,134.66,135.75,133.39,135.67,1987694
2020-06-09,135.4,135.4,132.86,133.34,1276912
2020-06-10,134.03,135.71,132.775,135.32,1352278
2020-06-11,134.52,135.31,129.07,129.09,1189699
2020-06-12,130.73,131.35,127.63,129.11,1085794
2020-06-15,127.26,130.2,126.0,130.13,1183099
2020-06-16,132.54,133.18,130.59,132.58,789541
2020-06-17,132.95,133.455,131.92,132.28,910406
2020-06-18,131.64,132.97,131.37,132.54,595452
2020-06-19,133.04,133.645,129.4,129.45,3297253
2020-06-22,129.52,131.44,129.41,130.56,993079
2020-06-23,132.19,132.54,130.01,130.25,1072521
2020-06-24,129.3,129.94,126.93,127.98,969741
2020-06-25,127.55,128.82,126.6793,128.67,1112339
2020-06-26,128.75,129.465,125.615,125.85,1539284
2020-06-29,126.16,128.26,125.5,127.61,797750
2020-06-30,128.25,130.35,127.89,129.62,2200364
2020-07-01,129.77,130.99,129.49,130.12,1292280
2020-07-02,131.05,131.68,129.2,129.86,1287362
2020-07-06,131.52,131.52,128.565,129.45,986160
2020-07-07,129.0,129.92,128.58,129.25,1097042
2020-07-08,128.98,129.5,127.17,128.52,1024432
2020-07-09,128.09,128.22,126.06,126.75,810954
2020-07-10,126.35,127.99,125.89,127.75,661434
2020-07-13,128.37,128.93,127.58,127.88,1248679
2020-07-14,127.57,131.95,127.41,131.8,1856693
2020-07-15,132.87,133.53,131.46,132.0,1155587
2020-07-16,132.48,135.51,132.15,134.45,1614772
2020-07-17,134.38,137.16,133.91,136.4,2708258
2020-07-20,136.24,136.52,134.68,135.51,1080076
2020-07-21,135.71,138.27,135.67,137.31,1162458
2020-07-22,137.11,138.47,136.2,138.46,1589711
2020-07-23,143.0,146.55,142.41,146.33,2281393
2020-07-24,147.03,147.61,144.96,145.68,1162150
2020-07-27,145.96,146.73,144.41,146.29,879555
2020-07-28,146.0,146.83,145.19,145.73,919440
2020-07-29,145.68,146.65,145.27,145.81,863872
2020-07-30,145.04,145.68,144.15,145.29,774019
2020-07-31,144.97,145.47,143.41,145.41,1757059
2020-08-03,145.33,146.31,144.37,144.94,1060143
2020-08-04,144.32,145.7,144.14,144.3,974031
2020-08-05,144.52,144.9,141.955,142.27,709462
2020-08-06,141.82,143.75,141.73,143.67,617989
2020-08-07,143.01,144.325,142.76,143.92,671897
2020-08-10,144.28,144.75,143.53,143.92,561601
2020-08-11,144.4,144.5,141.89,142.51,998564
2020-08-12,142.97,146.73,142.5,146.02,878684
2020-08-13,146.5,146.99,145.43,146.57,734862
2020-08-14,146.47,146.93,145.705,146.07,513958
2020-08-17,146.33,148.89,145.82,148.33,863891
2020-08-18,148.19,150.28,147.33,149.59,1046325
2020-08-19,148.45,148.98,147.63,147.76,1220100
2020-08-20,146.54,148.89,146.34,147.74,1241242
2020-08-21,148.03,148.28,146.74,147.43,707486
2020-08-24,148.0,149.2,147.15,148.84,436801
2020-08-25,149.7,149.7,147.97,148.67,503726
2020-08-26,148.38,149.48,147.285,149.15,1042531
2020-08-27,149.91,150.67,148.57,148.7,646534
2020-08-28,148.91,149.27,147.1948,149.2,406957
2020-08-31,148.82,149.6,148.4576,148.64,682391
2020-09-01,148.64,148.75,146.62,148.42,644640
2020-09-02,148.01,150.61,148.01,149.42,773493
2020-09-03,149.74,152.18,146.99,148.36,861882
2020-09-04,148.88,149.57,146.26,148.8,779532
2020-09-08,148.57,149.1,145.1846,145.52,924286
2020-09-09,146.78,149.06,146.63,147.72,624218
2020-09-10,147.39,147.87,144.93,145.15,694948
2020-09-11,145.45,146.9,145.1,145.5,484404
2020-09-14,146.15,146.8,144.48,144.5,585604
2020-09-15,144.68,146.365,143.75,144.34,882319
2020-09-16,145.25,146.08,143.16,143.19,629194
2020-09-17,142.55,142.55,139.56,140.5,857724
2020-09-18,140.87,141.52,138.12,138.92,1567924
2020-09-21,138.0,138.67,135.01,137.0,1291215
2020-09-22,136.98,138.3082,136.54,137.43,623009
2020-09-23,138.06,138.49,134.0,134.34,1084134
2020-09-24,134.53,137.91,134.52,137.66,963889
2020-09-25,137.16,139.5625,136.5,139.52,684939
2020-09-28,140.31,141.92,139.65,140.41,589910
2020-09-29,142.3,142.78,140.3,141.19,735261
2020-09-30,141.43,144.4,141.22,143.34,798517
2020-10-01,143.49,144.52,141.71,143.93,759662
2020-10-02,143.5,144.05,142.09,142.92,535654
2020-10-05,143.18,144.14,142.6196,143.77,432715
2020-10-06,143.42,143.76,141.09,141.56,680343
2020-10-07,142.02,144.08,141.75,143.41,615258
2020-10-08,143.16,144.16,142.68,143.51,474316
2020-10-09,144.25,146.41,143.8495,145.63,612694
2020-10-12,147.02,148.97,146.53,148.08,601634
2020-10-13,147.42,149.36,147.13,148.85,574279
2020-10-14,148.51,150.23,148.26,149.47,576978
2020-10-15,148.57,150.84,148.09,150.42,579589
2020-10-16,150.93,151.65,149.81,149.92,912213
2020-10-19,150.6,150.75,147.26,147.5,614242
2020-10-20,148.64,149.21,146.73,146.88,434715
2020-10-21,146.39,147.32,145.08,145.58,688587
2020-10-22,145.92,146.08,144.46,145.44,442573
2020-10-23,146.4,146.67,145.82,146.34,383672
2020-10-26,145.89,145.89,143.18,144.2,610599
2020-10-27,144.62,144.87,142.36,142.5,825133
2020-10-28,140.62,141.84,138.12,138.2,858284
2020-10-29,137.91,139.46,136.475,137.83,710810
2020-10-30,137.13,138.21,135.83,137.46,783864
2020-11-02,139.66,142.0,139.18,140.78,1266214
2020-11-03,141.82,144.56,141.76,142.72,569798
2020-11-04,143.8,146.59,143.12,143.94,985035
2020-11-05,145.58,146.28,143.8501,144.6,923599
2020-11-06,148.9,150.73,146.81,149.4,1354941
2020-11-09,152.57,154.49,149.61,149.72,1168401
2020-11-10,150.18,153.56,149.46,152.26,987701
2020-11-11,152.93,153.83,151.55,153.66,697170
2020-11-12,153.99,154.18,151.9,153.56,584487
2020-11-13,154.07,154.32,152.24,154.0,580392
2020-11-16,154.95,155.485,153.79,155.12,784111
2020-11-17,154.52,154.97,152.595,152.93,701006
2020-11-18,153.51,154.39,150.56,150.64,678171
2020-11-19,149.08,149.91,147.64,149.4,659417
2020-11-20,149.09,149.362,147.03,147.78,600645
2020-11-23,147.48,148.35,146.31,146.83,656963
2020-11-24,147.6,148.87,147.12,148.21,2261499
2020-11-25,148.42,149.33,147.805,148.15,1565286
2020-11-27,148.44,148.45,146.4,148.05,1252908
2020-11-30,147.4,148.03,146.23,147.89,1507420
2020-12-01,149.0,150.13,148.09,150.04,1325479
2020-12-02,150.04,151.79,148.445,149.25,1094650
2020-12-03,149.0,150.19,148.88,149.83,719353
2020-12-04,150.0,151.1,149.883,150.87,1002547
2020-12-07,151.8,152.71,148.68,149.72,879889
2020-12-08,149.1,151.7,148.84,150.63,814281
2020-12-09,150.45,152.7025,149.1,152.14,1179124
2020-12-10,152.33,152.81,149.68,149.7,899783
2020-12-11,148.99,150.2,148.98,149.11,608687
2020-12-14,149.57,151.58,149.045,149.14,579571
2020-12-15,149.51,150.82,149.22,150.23,689139
2020-12-16,150.16,151.67,149.47,150.28,743555
2020-12-17,151.1,152.785,150.35,151.61,797065
2020-12-18,151.89,152.35,150.13,150.88,1717323
2020-12-21,149.01,150.44,146.85,149.66,846072
2020-12-22,149.41,149.66,148.2,148.62,559984
2020-12-23,149.48,150.295,149.17,149.45,580120
2020-12-24,149.3,150.1799,148.84,149.95,188232
2020-12-28,151.16,151.89,150.43,151.8,432858
2020-12-29,152.49,152.97,151.23,151.44,518710
2020-12-30,151.51,152.0,150.37,150.53,387599
2020-12-31,150.39,152.54,149.51,152.33,479323
2021-01-04,153.01,153.42,149.59,150.9,861607
2021-01-05,150.98,151.54,149.51,150.73,678545
2021-01-06,151.81,153.93,150.91,151.26,835779
2021-01-07,151.24,152.32,150.24,151.17,600101
2021-01-08,151.46,152.34,150.855,152.03,552587
2021-01-11,151.85,152.43,149.83,150.11,613721
2021-01-12,149.63,150.75,148.28,149.38,621729
2021-01-13,149.35,151.78,148.9475,149.92,709668
2021-01-14,150.31,150.63,147.34,147.42,836687
2021-01-15,147.09,149.4859,146.88,148.46,1193696
2021-01-19,149.05,150.35,148.1763,148.75,790270
2021-01-20,148.8,149.75,147.6,149.63,872791
2021-01-21,150.0,150.0,148.25,148.98,826515
2021-01-22,148.85,149.58,147.73,148.2,643239
2021-01-25,147.85,150.07,146.96,147.53,1114392
2021-01-26,147.57,149.9,145.64,149.52,1167137
2021-01-27,148.99,149.505,145.61,146.19,1251769
2021-01-28,146.41,149.26,146.1,148.21,1220801
2021-01-29,147.35,149.71,145.32,145.44,1366644
2021-02-01,145.65,146.37,144.62,145.11,848062
2021-02-02,145.75,148.48,145.19,147.12,1001901
2021-02-03,147.1,147.78,145.57,146.58,890135
2021-02-04,147.86,150.0,145.31,147.22,1273320
2021-02-05,147.9,149.3964,146.59,146.6,825536
2021-02-08,151.25,151.37,147.33,149.33,2026184
2021-02-09,149.21,151.26,149.15,149.62,1090021
2021-02-10,150.32,150.65,149.22,150.0,883720
2021-02-11,149.58,150.78,149.45,150.42,871355
2021-02-12,149.85,151.76,149.69,151.38,785709
2021-02-16,151.22,152.32,150.15,151.38,1197589
2021-02-17,150.93,152.46,150.85,151.29,864849
2021-02-18,149.81,153.86,149.81,152.99,1390560
2021-02-19,153.12,153.57,148.75,148.85,1166040
2021-02-22,149.1,149.1,146.5,148.25,862054
2021-02-23,149.05,150.455,147.1,147.98,1477928
2021-02-24,147.97,148.5,147.12,147.57,774656
2021-02-25,147.44,149.14,147.295,147.57,1589892
2021-02-26,148.05,148.93,145.56,145.65,1053866
2021-03-01,146.18,147.91,144.72,145.19,1177230
2021-03-02,145.1,146.48,143.58,145.35,969620
2021-03-03,145.27,145.81,144.25,144.37,1100980
2021-03-04,144.85,149.105,144.46,146.09,1251059
2021-03-05,146.69,150.805,146.06,150.38,1031682
2021-03-08,151.3,154.62,150.06,151.79,1112904
2021-03-09,151.77,153.22,150.5,150.56,953009
2021-03-10,150.28,153.51,149.05,152.65,1121090
2021-03-11,151.86,153.1,151.53,151.9,959298
2021-03-12,152.45,152.88,151.21,152.44,756683
2021-03-15,153.37,153.53,151.28,153.32,773372
2021-03-16,153.75,154.27,152.63,153.49,916455
2021-03-17,155.47,155.86,153.69,154.56,995773
2021-03-18,154.04,156.46,154.0,156.07,673176
2021-03-19,156.65,156.95,154.65,154.7,1455294
2021-03-22,154.09,156.6199,153.9394,156.38,801741
2021-03-23,156.58,157.24,155.8483,156.92,689964
2021-03-24,156.05,158.25,154.92,157.26,977376
2021-03-25,157.81,158.61,156.18,157.04,937188
2021-03-26,157.38,159.29,156.55,159.27,676538
2021-03-29,158.8,161.71,158.65,161.13,818678
2021-03-30,160.9,161.56,158.43,158.86,1019283
2021-03-31,158.39,159.7,157.68,158.16,1170674
2021-04-01,158.19,159.52,156.28,158.76,932277
2021-04-05,158.97,161.3449,158.56,159.35,979737
2021-04-06,159.6,161.55,159.23,160.76,941468
2021-04-07,161.0,161.3607,159.91,160.57,771819
2021-04-08,160.5,161.06,159.4,160.11,995336
2021-04-09,160.63,160.81,158.62,159.5,714231
2021-04-12,159.56,160.29,158.9733,159.6,942726
2021-04-13,158.55,159.645,158.1842,158.82,1136713
2021-04-14,158.86,159.04,156.87,158.19,889338
2021-04-15,161.0,161.35,159.58,160.9,1079558
2021-04-16,161.31,161.53,160.12,160.99,1260671
2021-04-19,161.01,161.61,159.52,160.98,771969
2021-04-20,160.65,163.1899,160.28,162.19,836812
2021-04-21,162.79,163.99,162.79,162.94,929832
2021-04-22,162.99,163.41,161.567,162.24,825941
2021-04-23,162.21,162.59,161.1517,161.43,682518
2021-04-26,161.64,161.64,158.81,159.03,762014
2021-04-27,159.09,159.45,157.94,158.71,1063097
2021-04-28,159.26,160.95,158.5,158.86,1320933
2021-04-29,160.02,165.5,159.505,164.22,1609223
2021-04-30,163.92,164.99,163.16,164.3,1190999
2021-05-03,164.7,167.8,164.27,166.74,1125462
2021-05-04,166.89,167.93,165.76,166.91,1261230
2021-05-05,166.72,168.9225,165.94,168.36,784935
2021-05-06,169.28,170.79,167.92,168.63,951129
2021-05-07,168.63,169.13,167.4,168.49,780934
2021-05-10,168.86,171.14,168.7801,170.31,1385206
2021-05-11,171.83,172.16,168.41,168.92,986684
2021-05-12,169.05,169.52,167.44,167.6,1071406
2021-05-13,167.26,172.54,167.1,171.6,1462665
2021-05-14,172.05,173.64,171.11,171.11,840340
2021-05-17,171.23,173.83,170.71,172.49,1122951
2021-05-18,172.32,174.2344,172.32,172.79,1372525
2021-05-19,172.18,173.08,171.12,172.28,998850
2021-05-20,171.61,174.16,171.465,173.09,1006614
2021-05-21,173.58,174.74,173.26,173.76,904460
2021-05-24,174.01,175.09,173.75,174.1,725464
2021-05-25,174.08,174.75,172.275,174.72,766591
2021-05-26,174.38,175.23,173.78,174.3,814801
2021-05-27,174.3,174.905,173.01,173.45,1026035
2021-05-28,173.52,174.22,173.02,173.05,871121
2021-06-01,173.66,174.6,171.87,172.65,752196
2021-06-02,173.27,174.215,172.7301,173.54,767783
2021-06-03,173.26,174.63,172.66,174.54,758142
2021-06-04,174.86,175.55,174.22,174.9,599121
2021-06-07,175.4,175.4,172.81,173.99,648581
2021-06-08,174.29,174.29,173.08,173.58,552612
2021-06-09,173.11,173.59,172.54,172.86,553855
2021-06-10,172.79,174.66,172.79,174.38,580131
2021-06-11,175.08,175.08,173.4,174.8,443503
2021-06-14,174.41,174.67,172.95,174.67,618452
2021-06-15,174.81,175.07,173.86,174.85,434375
2021-06-16,175.14,175.27,172.54,172.67,667250
2021-06-17,172.67,173.76,171.54,173.51,502473
2021-06-18,172.53,172.53,170.37,170.49,1333279
2021-06-21,171.44,172.33,171.18,172.24,856905
2021-06-22,172.84,173.56,172.09,172.27,615092
2021-06-23,171.63,171.77,170.33,170.37,803588
2021-06-24,170.1,173.62,169.49,172.39,1959747
2021-06-25,172.55,175.3325,171.97,175.12,1778836
2021-06-28,175.15,175.86,173.86,174.54,762241
2021-06-29,174.18,174.88,171.52,172.0,998815
2021-06-30,172.0,174.4,171.9,174.18,1235399
2021-07-01,174.21,175.455,173.44,173.7,875448
2021-07-02,174.33,174.9088,173.65,174.0,661108
2021-07-06,174.11,175.42,173.0,175.1,879203
2021-07-07,175.08,178.36,174.94,176.57,1338826
2021-07-08,175.91,177.5,174.99,175.79,976373
2021-07-09,176.55,177.21,176.1,176.75,779386
2021-07-12,176.4,176.87,175.3301,176.82,794144
2021-07-13,176.395,177.09,175.28,175.93,755562
2021-07-14,176.03,178.01,175.5,177.57,669826
2021-07-15,177.2,179.65,177.2,179.49,565632
2021-07-16,179.83,180.575,179.22,179.99,852564
2021-07-19,179.62,181.255,178.06,179.43,1037816
2021-07-20,180.28,182.24,179.81,180.28,824360
2021-07-21,180.7,180.768,177.91,178.02,569216
2021-07-22,177.48,178.195,176.6398,176.91,555182
2021-07-23,177.11,179.41,176.79,179.26,563075
2021-07-26,179.02,179.41,177.85,178.0,719163
2021-07-27,177.79,179.76,177.62,179.24,901558
2021-07-28,178.63,179.07,175.4,176.5,1075893
2021-07-29,175.25,179.29,174.2,178.52,1138908
2021-07-30,178.65,179.775,178.16,178.88,788395
2021-08-02,179.55,179.55,177.71,178.41,701515
2021-08-03,178.45,180.175,178.145,179.85,546522
2021-08-04,180.0,180.08,178.04,178.16,626538
2021-08-05,179.0,179.83,178.4201,178.75,648350
2021-08-06,179.2,179.78,178.14,178.59,444829
2021-08-09,178.59,179.27,178.135,178.47,422231
2021-08-10,178.79,179.37,178.18,178.96,557600
2021-08-11,179.17,179.88,178.4,178.67,518712
2021-08-12,179.22,179.24,177.41,177.64,667752
2021-08-13,178.15,179.725,178.12,179.4,624323
2021-08-16,179.65,181.23,179.65,181.16,471844
2021-08-17,181.43,182.71,180.85,182.13,691805
2021-08-18,181.73,181.93,179.35,179.51,706686
2021-08-19,177.66,181.15,177.6,180.25,531368
2021-08-20,180.25,181.08,179.13,180.03,631263
2021-08-23,180.0,180.41,178.69,178.75,755353
2021-08-24,178.73,178.83,176.1,176.14,1053759
2021-08-25,175.79,176.23,175.05,175.6,549855
2021-08-26,175.14,175.83,174.47,175.11,518574
2021-08-27,175.67,176.285,174.66,175.63,570310
2021-08-30,175.27,177.49,175.27,176.53,596971
2021-08-31,176.385,178.0,176.2,177.7,1127877
2021-09-01,178.25,178.55,176.77,178.22,526139
2021-09-02,178.3,179.165,177.425,178.22,545934
2021-09-03,178.17,178.35,176.81,177.99,462910
2021-09-07,177.93,177.93,173.63,173.73,687418
2021-09-08,173.72,176.75,173.29,176.63,744592
2021-09-09,176.58,176.68,174.995,175.4,623532
2021-09-10,175.32,175.85,174.2915,175.06,570565
2021-09-13,175.57,177.27,175.36,175.48,475833
2021-09-14,175.47,175.95,174.1,174.55,648081
2021-09-15,174.29,176.28,174.22,175.08,516322
2021-09-16,175.14,176.29,173.79,175.56,498741
2021-09-17,175.04,176.21,174.665,175.07,1278371
2021-09-20,174.32,175.23,171.89,173.43,629030
2021-09-21,173.95,174.77,171.62,171.78,662141
